--- MENU DUMP FROM IIKO API ---
Generated at: 2026-02-05T11:16:01.418Z
Format: [Group Name] Product Name | Price | ID | Type
[ЛИНИЯ ДЕСЕРТОВ] Макаронсы с начинкой | Price: 280 | ID: 8a3926ae-ca93-4ab3-937e-dc9175c52ebb | Type: Dish
[ЛИНИЯ ДЕСЕРТОВ] Макаронсы с начинкой | Price: 110 | ID: 57b3f83a-482d-467c-8bb4-7113fd552db3 | Type: Dish
[ЛИНИЯ ДЕСЕРТОВ] Меренговый рулет 300 гр.!! | Price: 540 | ID: f4684e44-31d2-4f64-a1ee-e2b7d4cdbf62 | Type: Dish
[ЛИНИЯ ДЕСЕРТОВ] Торт бенто  | Price: 2000 | ID: d8d62560-c8f7-4aa5-bd21-cf76cf6e97ce | Type: Dish
[ЛИНИЯ ДЕСЕРТОВ] Торт Заказной | Price: 3000 | ID: 08bb7efc-da98-4f52-a3b9-81c060e86b97 | Type: Dish
[ЛИНИЯ ДЕСЕРТОВ] Эклер | Price: 300 | ID: ebaeac98-0de7-4473-b845-b52e84bed312 | Type: Dish
[Макаронсы] Макаронс "Баунти"  | Price: 0 | ID: 5ee8b0be-f6fa-4f19-b991-d677a95b4726 | Type: Modifier
[Макаронсы] Макаронс "Дыня-малина" | Price: 0 | ID: 1e1acfe1-b8fb-4ed2-aff5-fba1926c14c5 | Type: Modifier
[Макаронсы] Макаронс "Клубничный пломбир" | Price: 0 | ID: 21fb3ee5-27cf-4a52-9939-80bd1ccd728b | Type: Modifier
[Макаронсы] Макаронс "Кофе-Карамель" | Price: 0 | ID: 28eb11cc-483d-4963-9412-413254149939 | Type: Modifier
[Макаронсы] Макаронс "Манго-Маракуйя" | Price: 0 | ID: 8dc5a9f0-609f-4e6b-ab02-aa4058cb26d1 | Type: Modifier
[Макаронсы] Макаронс "Мята" | Price: 0 | ID: 5bb76bd2-b209-4165-9618-fec9e5572367 | Type: Modifier
[Макаронсы] Макаронс "Сникерс" | Price: 0 | ID: 46c779f8-6122-4811-bcad-9546597f9f8e | Type: Modifier
[Морсы] Клюквенный 1л | Price: 0 | ID: 32fb7140-4d1c-451e-bd1c-af7a8edc8a34 | Type: Modifier
[Морсы] Лимонад 1 л  | Price: 0 | ID: 771c44ce-bc53-4272-b4cb-ce804c3f27cb | Type: Modifier
[Морсы] Морс Шиповник 1 л | Price: 0 | ID: 0836ae01-306a-45ce-91dc-b59b5d920c5f | Type: Modifier
[Морсы] Облепиховый 1л | Price: 0 | ID: 37ab725d-b859-4dcb-8229-a8b731b21279 | Type: Modifier
[Морсы] Смородиновый 1л | Price: 0 | ID: ec69fc29-6fd8-415c-8c71-3c6c0e9611d3 | Type: Modifier
[Наборы русских пирогов] Набор За тридевять земель | Price: 2100 | ID: be1c2d12-2c2b-4496-a500-e74f8154ad8d | Type: Dish
[Наборы русских пирогов] Набор По щучьему велению | Price: 2100 | ID: 2fd65827-45b5-4eb8-bae8-429e48edb8bf | Type: Dish
[Наборы русских пирогов] Набор Полцарства в придачу  | Price: 2100 | ID: 98c7a8c4-66e9-4c93-86a3-89620f70e152 | Type: Dish
[Наборы русских пирогов] Пир на весь мир  | Price: 10000 | ID: 62c5f0ce-9474-461c-84b2-7557a5b9299f | Type: Dish
[Наборы тарталеток] Микс (1 кг) | Price: 0 | ID: 7d799f7e-11c1-43e5-8006-c0336bc28648 | Type: Dish
[Наборы тарталеток] Мини сет Тарталетка с черной смородиной и Тарталетка Четыре сыра (220 г) | Price: 340 | ID: 0d8112dd-c998-438e-8bb8-f7a9f5242509 | Type: Dish
[Наборы тарталеток] Мини-сет Тарт с бананами и Тарт с яблоком и брусникой (220г) | Price: 290 | ID: b73f4a6f-a816-4624-a0e1-13ade80dd404 | Type: Dish
[Наборы тарталеток] Мини-сет Тарталетка шоколадная и Тарталетка с бананами (220 г) | Price: 310 | ID: 663c8f95-dc62-4bd5-ade2-038b95972194 | Type: Dish
[Наборы тарталеток] Мини-сет Тарталетка шоколадная и Тарталетка с яблоком и брусникой (220 г) | Price: 320 | ID: 0732113e-c203-4d00-a979-51a120e302f9 | Type: Dish
[Наборы тарталеток] Набор ассорти из сладких и сытных тартов | Price: 2650 | ID: 51b68022-c606-44bd-b8a1-80aa5a27b0f9 | Type: Dish
[Наборы тарталеток] Набор из сытных мини-тартов | Price: 2650 | ID: 23933c94-1914-414a-9584-5eaaf5d64bc6 | Type: Dish
[Наборы тарталеток] Набор сладких мини тартов | Price: 2650 | ID: 154895a4-6468-4b87-b676-69ff37b65bcf | Type: Dish
[Наборы тарталеток] Сытное путешествие (1 кг) | Price: 0 | ID: e5d842bb-d027-477c-96d4-c44553c2dcf3 | Type: Dish
[Наборы тарталеток] Тарталетка с бананами | Price: 250 | ID: 80481044-8369-4336-a102-4336217bf195 | Type: Dish
[Наборы тарталеток] Тарталетка с бананами (2 шт.) | Price: 350 | ID: a52da030-7256-459b-b341-64c19788e938 | Type: Dish
[Наборы тарталеток] Тарталетка с яблоком и брусникой | Price: 250 | ID: 63e3a494-0885-4888-9a74-98df623e14d7 | Type: Dish
[Наборы тарталеток] Тарталетка шоколадная | Price: 250 | ID: 023d0b81-df43-4682-8896-aeddf34ddc7a | Type: Dish
[Наборы тарталеток] Тарты "Бовария и Польша" 4 шт. + МОРС | Price: 1300 | ID: aab555ae-bb04-4255-9718-0fa33a7d8ecb | Type: Dish
[Наборы тарталеток] Тарты "Бовария и Польша" 4 шт. + МОРС | Price: 1300 | ID: 7fc8bb35-9261-48d0-af25-9ec3000ca883 | Type: Dish
[Наборы тарталеток] Тарты "Величие Фьордов" 4 шт. + МОРС  | Price: 1300 | ID: aadc1ecd-fa73-4efd-9e45-fc6ccdbc736e | Type: Dish
[Наборы тарталеток] Тарты "Путешествие по четырем странам" 4 шт. + МОРС  | Price: 1300 | ID: d2ec6ceb-2130-42fe-a03f-dc40b732ae0c | Type: Dish
[Наборы тарталеток] Тарты "Франция и Дания" 4 шт. + МОРС  | Price: 1300 | ID: 45a5d44d-aacb-4d66-9547-33c5e09fc194 | Type: Dish
[Набры Осетия] Кавкавзкий набор: Три пирога | Price: 4500 | ID: e256fddc-6102-4baa-bc71-7e0d20f0d44f | Type: Dish
[Начинки тортов] Ароматные  медовый бисквиты, сливочно-сметанным крем, бисквитная медовая кр | Price: 0 | ID: e0b61063-aa24-4c2d-b9c2-6b0b7e457ab8 | Type: Modifier
[Начинки тортов] Ванильный бисквит, сливочным итальянский сыр и натуральные сливки | Price: 0 | ID: 9f5416ed-3584-49fb-bfa8-228214b76711 | Type: Modifier
[Начинки тортов] Насыщенный фисташковый бисквит, натуральная фисташковая паста  и малиновое  | Price: 0 | ID: 20956539-189e-4e4c-b1e8-fc988e446e28 | Type: Modifier
[Начинки тортов] Сливочные бисквиты на натуральном бельгийском шоколаде и натуральной клубни | Price: 0 | ID: c2f81f15-4a5c-4ff9-8e72-d873b8ae121e | Type: Modifier
[Начинки тортов] Сочный морковный бисквит с пряностями, орехами и сырным кремом. | Price: 0 | ID: 9df8041c-f681-4ddf-9804-9a428a2f240e | Type: Modifier
[Начинки тортов] Торт с влажным рассыпчатым бисквитом на какао в сочетании с сырно-сливочным | Price: 0 | ID: 31cd3e12-1e9e-46ab-ad8f-d4bae19bdbcb | Type: Modifier
[Начинки тортов] Тот безумный торт с арахисом и карамельной нугой. | Price: 0 | ID: a2f30bd5-525d-43f7-83e8-2c7e65ff2d03 | Type: Modifier
[Начинки тортов] Шоколадный бисквит, пропитанный фирменном сиропом с добавлением абрикосовог | Price: 0 | ID: 5bad49e4-b5a3-42f0-92bc-6e695114974d | Type: Modifier
[Начинки тортов] Шоколадный бисквит. Фирменное печенье савоярди, промоченное кофейно-сливочн | Price: 0 | ID: eee793e4-0af1-4f6a-8a51-13a011ee6c05 | Type: Modifier
[Начинки тортов] Яркое сочетание сочной малины и манго. | Price: 0 | ID: f5135bd5-df02-4d16-a26c-fc27f2f418ca | Type: Modifier
[Осетинские сладкие] Осетинский пирог с вишней  | Price: 1075/1438 | ID: 1d24b4bc-eda2-4cdd-b4c7-f25694435c32 | Type: Dish
[Осетинские сладкие] Осетинский пирог с маком и сухофруктами  | Price: 1075/1438 | ID: cdfc2e1a-8ca1-406c-b507-4981723881d5 | Type: Dish
[Осетинские сладкие] Осетинский пирог с творогом и малиной  | Price: 1102/1450 | ID: e140f5bf-d227-40de-86ba-a00d3cb27fc6 | Type: Dish
[Осетинские сладкие] Осетинский пирог с черной смородиной | Price: 790/1060 | ID: 81789d56-c0fc-4c60-bb6b-14ce86f41307 | Type: Dish
[Осетинские сладкие] Осетинский пирог с яблоком, орехом и изюмом  | Price: 1105/1450 | ID: 61bf1f00-753b-4ce0-9029-3e9b3955339c | Type: Dish
[Осетинские сытные] Лепешка осетинская | Price: 300 | ID: e2c59af3-6d84-40cf-af6a-97c8fea78c26 | Type: Dish
[Осетинские сытные] Осет. пирог с рубл. говяд. и инжир | Price: 740 | ID: 10b123c7-0dd4-4d08-a2f5-b80ae6c27617 | Type: Dish
[Осетинские сытные] Осетинский пирог с говяжьим фаршем | Price: 1420/1792 | ID: f692875f-110e-43d8-82e0-acfe1fb6f663 | Type: Dish
[Осетинские сытные] Осетинский пирог с говяжьим фаршем и капустой | Price: 1100/1400 | ID: 1efb4e98-94e0-471b-b382-e7f9bd730ebe | Type: Dish
[Осетинские сытные] Осетинский пирог с говяжьим фаршем и картофелем | Price: 1415/1781 | ID: bd98befb-9488-471f-bc7f-b36b85a4f35b | Type: Dish
[Осетинские сытные] Осетинский пирог с домашним фаршем | Price: 1421/1792 | ID: ed59ca81-26f3-446d-b86f-db92ad9d2915 | Type: Dish
[Осетинские сытные] Осетинский пирог с капустой | Price: 1049/1249 | ID: ab1f51ad-1208-41f2-9370-4e226e1428f6 | Type: Dish
[Осетинские сытные] Осетинский пирог с капустой и орехом | Price: 1085/1273 | ID: 566d2c9a-8dd5-46e5-8b4d-0b9cd5fb680d | Type: Dish
[Осетинские сытные] Осетинский пирог с картофелем | Price: 1126/1663 | ID: 9e67e092-0829-43f5-9585-0d6fb1a36d80 | Type: Dish
[Осетинские сытные] Осетинский пирог с картофелем и грибами | Price: 1415/1733 | ID: 942e9a3c-5a33-4278-9d9d-33b67b66eec6 | Type: Dish
[Осетинские сытные] Осетинский пирог с картофелем и сыром | Price: 1174/1733 | ID: fd7151f1-6e0c-4c17-ad6f-540756d4fca4 | Type: Dish
[Осетинские сытные] Осетинский пирог с красной рыбой | Price: 1427/1922 | ID: 68346824-f27e-4347-b27c-52e095719487 | Type: Dish
[Осетинские сытные] Осетинский пирог с курицей и грибами | Price: 1304/1733 | ID: 42ed9dc5-f736-4b73-adc8-92015aab8c65 | Type: Dish
[Осетинские сытные] Осетинский пирог с рубленой говядиной  | Price: 1397/1857 | ID: 725cdb3d-7986-4e4f-9d1b-062275a7bec8 | Type: Dish
[Осетинские сытные] Осетинский пирог с сыром и зеленью | Price: 1404/1887 | ID: 72cf49d8-b43d-41af-9115-9e4cad871ca9 | Type: Dish
[Осетинские сытные] Осетинский пирог с сыром и свекольными листьями | Price: 1100/1500 | ID: 2bac9f65-bd55-477a-b49a-a50ce45d10d9 | Type: Dish
[Осетинские сытные] Осетинский пирог с сыром сулугуни | Price: 1397/1857 | ID: de5d3d2e-f604-4140-bb5a-8e1e49204973 | Type: Dish
[Песочные сладкие пироги] Австрийский штрудельс ЯБЛОКОМ, ИЗЮМОМ, ГРЕЦКИМИ ОРЕХАМИ и корицей | Price: 1173/1735 | ID: d6522801-bfbf-49e3-8772-06843082f3bf | Type: Dish
[Песочные сладкие пироги] Американскйи Баноффи ПАЙ вареным сгущенным молоком и кофейными сливками | Price: 1173/1735 | ID: aa9e860f-89ae-442b-af1e-e50fdb0552bb | Type: Dish
[Песочные сладкие пироги] Английский крамбл с ТОМЛЕНЫМ ЯБЛОКОМ и брусникой | Price: 1173/1739 | ID: 6e557c21-6ffd-4beb-ae82-9b26d077d457 | Type: Dish
[Песочные сладкие пироги] Афинский пирог с карамелизированной грушей, имберем и корицей | Price: 1233/1845 | ID: 32a5e1f5-11e8-4548-a43f-6cadc2ed6ad6 | Type: Dish
[Песочные сладкие пироги] Балийский пирог с ЛИМОНОМ И КОКОСОМ | Price: 980/1450 | ID: e3bbc94b-52bb-4c95-ab9a-07ae72281ced | Type: Dish
[Песочные сладкие пироги] Вьетнамский пирог с МАНГО И КИВИ  | Price: 1156/1664 | ID: 4afc47d5-c3ec-42ae-9984-7b11241f7e21 | Type: Dish
[Песочные сладкие пироги] Галисийский пирог МИНДАЛЬНЫЙ С ГРУШЕЙ  | Price: 1360/1857 | ID: fd603dd3-991e-45ab-b92b-d65f3c16c17d | Type: Dish
[Песочные сладкие пироги] Датский пай с ВИШНЕЙ | Price: 1234/1793 | ID: a7d2db89-2aea-4570-89a4-640c6449051a | Type: Dish
[Песочные сладкие пироги] Испанский абрикосовый пирог | Price: 1233/1793 | ID: e57333f1-a649-4c32-94b8-de82237f79b9 | Type: Dish
[Песочные сладкие пироги] Калифорнийский клубничный пай | Price: 1233/1794 | ID: 2baf1773-6796-4aad-9fbc-e321533edf29 | Type: Dish
[Песочные сладкие пироги] Канадский брусничный пай | Price: 1228/1818 | ID: 504d154f-12bb-475b-a06c-eac7de5f4a20 | Type: Dish
[Песочные сладкие пироги] Карибский грейпфруктово-банановый пирог | Price: 690 | ID: 83b783e9-d593-433b-bb1d-64ae70ba624e | Type: Dish
[Песочные сладкие пироги] Киш лимонный | Price: 0/0 | ID: 26f9e315-b09e-4591-b386-1c04c4eb8874 | Type: Dish
[Песочные сладкие пироги] Киш манго-киви | Price: 0/0 | ID: efb3ddd0-4e7a-4b8c-abeb-e6a29306de91 | Type: Dish
[Песочные сладкие пироги] Киш творожно-малиновый | Price: 0/0 | ID: 94443698-32f5-4c3a-866d-ca933a8d30c1 | Type: Dish
[Песочные сладкие пироги] Киш творожный с мандаринами | Price: 0/0 | ID: 5075d781-c105-4e5e-b17f-61724f051a47 | Type: Dish
[Песочные сладкие пироги] Лондонский ТЫКВЕННЫЙ пирог | Price: 1226/1676 | ID: 1516e2b9-c3d8-469b-b03a-e3626f7a824d | Type: Dish
[Песочные сладкие пироги] Польский пирог с МАКОМ и ТВОРОЖНЫМ СЫРОМ | Price: 1226/1677 | ID: 2fd16b3a-09cf-43b5-aa88-d6fdfed12606 | Type: Dish
[Песочные сладкие пироги] Румынский пирог с ТВОРОГОМ и ЧЕРНОЙ СМОРОДИНОЙ | Price: 1232/1793 | ID: 6c3bfe23-1de0-4c6c-a029-f077a88d4c3f | Type: Dish
[Песочные сладкие пироги] Финский пирог с НАТУРАЛЬНОЙ ЛЕСНОЙ ЧЕРНИКОЙ  | Price: 1233/1793 | ID: 3114ae46-2f26-47f5-887b-f85cde1c5099 | Type: Dish
[Песочные сладкие пироги] Французский пирог с грушей и сыром Дорблю | Price: 1251/2052 | ID: 68e4297c-bbe7-4570-a22d-330bfaf95293 | Type: Dish
[Песочные сладкие пироги] Чикагский брауни шоколадный пирог с брусникой и грецким орехом | Price: 1251/1857 | ID: 481330e0-0d74-4f16-aecf-5e2faf6e4655 | Type: Dish
